id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
3248636,UCJEPS,VASC,,PreservedSpecimen,889f9c7a-1081-41de-900c-2c144c368960,UC5636,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,State Survey,,6061,1866-04-18,,1866,4,18,108,,Apr 18 1866,,,,,,,,,,,,,Flowering,,,,,,,,,,,,United States,California,Mendocino,,Ukiah,,0,,39.144787,-123.2056,NAD27,3238,,,,,,,,,,,,,,,,2/10/22 14:31,889f9c7a-1081-41de-900c-2c144c368960,46,575830f4-0bd3-4481-9d1d-e2d2e1ed7a5c,https://www.cch2.org/portal/collections/individual/index.php?occid=3248636
3443921,UCJEPS,VASC,,PreservedSpecimen,7876a11c-2094-449c-938c-29f6cf4c884f,UC5637,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,State Survey,,6066a,1866-05-19,,1866,5,19,139,,May 19 1866,county supplied by Wetherwax,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Mendocino,,Anderson Valley,,0,,39.056858,-123.42936,NAD27,10313,,,,,,,,,,,,,,,,2/11/22 8:44,7876a11c-2094-449c-938c-29f6cf4c884f,46,f5445f71-ca14-424d-a8ab-56b0912b5ace,https://www.cch2.org/portal/collections/individual/index.php?occid=3443921
3505022,UCJEPS,VASC,,PreservedSpecimen,d88809b8-4258-4f22-8438-90d55920c168,UC5635,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,State Survey,,6066,1866-05-19,,1866,5,19,139,,May 19 1866,county supplied by Wetherwax,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Mendocino,,Anderson Valley,,0,,39.056858,-123.42936,NAD27,10313,,,,,,,,,,,,,,,,2/11/22 8:54,d88809b8-4258-4f22-8438-90d55920c168,46,694bc89a-3a15-4095-8b9b-830f276f24a1,https://www.cch2.org/portal/collections/individual/index.php?occid=3505022
3552440,UCJEPS,VASC,,PreservedSpecimen,f6f27e99-d173-456d-a618-3935e85156b8,UC196970,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,V. King Chesnut,,,1887-08-01,,1887,8,1,213,243,Aug 1887,county supplied by Wetherwax; date given as Aug 1887,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Sonoma,,Santa Rosa,,0,,38.437492,-122.71855,WGS84,8500,,UCBerkeley B,,GEOLocate,,georef from 2006-2015 archive backup file; Mon Jun 11 12:25:27 2012; (copied from UCD93580),,,,,,,,,preprocessed,5/31/12 17:04,f6f27e99-d173-456d-a618-3935e85156b8,46,cc3a5fbf-f861-49b0-ad1b-62a8e3f67f9f,https://www.cch2.org/portal/collections/individual/index.php?occid=3552440
3333282,UCJEPS,VASC,,PreservedSpecimen,cc59b9bf-b5c7-4332-ae73-6ce387dfee47,UC338589,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,unknown,,,1888-04-06,,1888,4,6,97,,Apr 6 1888,"county supplied by Wetherwax; from the Lemmon Herbarium, probably collected by Lemmon",,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Santa Clara,,Los Gatos,,0,,37.2268,-121.9772,WGS84,2000,,,,,,,,,,,,,,,,2/11/22 8:21,cc59b9bf-b5c7-4332-ae73-6ce387dfee47,46,44ee70d2-7206-4741-99c8-fce53f14044c,https://www.cch2.org/portal/collections/individual/index.php?occid=3333282
3379530,UCJEPS,VASC,,PreservedSpecimen,85c52fc1-cae6-4118-90b0-12db1d9ae65a,UC119118,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,T. S. Brandegee,,,1888-06-01,,1888,6,1,153,182,Jun 1888,county supplied by Wetherwax; date given as Jun 1888,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Rosa Island,,0,,34.01,-120.06,NAD83,13000,,Santa Barbara Botanic Garden A,,Terrain Navigator 8.7,,georef from 2006-2015 archive backup file; Thu Nov 21 11:17:34 2013; (copied from GH8175),,,,,,,,,preprocessed,5/31/12 6:45,85c52fc1-cae6-4118-90b0-12db1d9ae65a,46,774144a8-e535-46c2-ac30-1420d0781bba,https://www.cch2.org/portal/collections/individual/index.php?occid=3379530
3309237,UCJEPS,VASC,,PreservedSpecimen,e4eeee82-e01d-4a60-91df-241ce0f5d65b,UC404736,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Edward Lee Greene,,,1888-11-03,,1888,11,3,308,,Nov 3 1888,,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Alameda,,Sunol,,0,,37.59444,-121.8875,,,,,,,,,,,,,,,,,,2/10/22 14:44,e4eeee82-e01d-4a60-91df-241ce0f5d65b,46,5a73ffd8-5418-4f26-b719-6bd1e42d1670,https://www.cch2.org/portal/collections/individual/index.php?occid=3309237
3485950,UCJEPS,VASC,,PreservedSpecimen,b37013a1-ab67-434a-a99d-cfb1502f6289,UC5641,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Willis L. Jepson,,,1891-10-01,,1891,10,1,274,304,Oct 1891,date given as Oct 1891,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Solano,,Vacaville,,0,,38.35667,-121.9867,,,,,,,,,,,,,,,,,,2/11/22 8:22,b37013a1-ab67-434a-a99d-cfb1502f6289,46,f591e1bd-1343-41b5-bf4f-15e59306c3ba,https://www.cch2.org/portal/collections/individual/index.php?occid=3485950
3199828,UCJEPS,VASC,,PreservedSpecimen,e59447d5-192e-4472-8a24-295cfea82689,UC5640,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Willis L. Jepson,,,1891-10-04,,1891,10,4,277,,Oct 4 1891,,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Solano,,Vacaville,,0,,38.35667,-121.9867,,,,,,,,,,,,,,,,,,2/11/22 8:22,e59447d5-192e-4472-8a24-295cfea82689,46,6b0c226e-26d2-4869-8740-52c59058835e,https://www.cch2.org/portal/collections/individual/index.php?occid=3199828
3297623,UCJEPS,VASC,,PreservedSpecimen,eb6c11fd-1475-4549-87fe-1da3e0dd25e2,UC5639,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Geo. Hansen,,202,1893-09-01,,1893,9,1,244,273,Sep 1893,date given as Sep 1893,Sequoia Gigantea Region,,,,,,,,,,,Flowering,,,,,,,,,,,,United States,California,Amador,,Pine Grove Sequoia Gigantea Region,,0,,38.41356,-120.658394,NAD27,818,,,,,,,701,,,,,2300 ft,,,,2/11/22 8:14,eb6c11fd-1475-4549-87fe-1da3e0dd25e2,46,1ecbed5d-b320-4a29-9bc9-e944f649489c,https://www.cch2.org/portal/collections/individual/index.php?occid=3297623
