"","ID","Skeletonization","Surface feeding","Gall","Hole Feeding","Mining","Margin Feeding","Piercing","Chewing"
"1","1",0,0,0,0,0,0,0,0
"2","2",0,0,0,0,0,0,0,0
"3","3",100,0,0,0,0,0,0,100
"4","4",0,0,0,0,0,0,0,0
"5","5",100,0,0,0,0,0,0,100
"6","6",0,0,0,0,0,0,0,0
"7","7",100,0,0,0,0,0,0,100
"8","8",100,0,0,0,100,0,0,100
"9","9",100,0,0,0,0,0,0,100
"10","10",0,0,0,0,0,0,0,0
"11","11",0,0,0,0,0,0,0,0
"12","12",0,0,0,0,0,0,0,0
"13","13",0,0,0,0,0,0,0,0
"14","14",100,0,0,0,0,0,0,100
"15","15",100,0,0,100,0,100,0,300
"16","16",100,0,0,0,0,0,0,100
"17","17",0,0,0,0,0,0,0,0
"18","18",100,0,0,0,0,0,0,100
"19","19",100,0,0,0,0,0,0,100
"20","20",100,0,0,0,0,0,0,100
"21","21",0,0,0,0,100,0,0,0
"22","22",0,0,0,100,0,0,0,100
"23","23",0,0,0,0,0,0,0,0
"24","24",0,0,0,0,0,0,0,0
"25","25",0,0,0,0,0,0,0,0
"26","26",0,0,0,0,0,0,0,0
"27","27",0,0,0,0,0,0,0,0
"28","28",0,0,0,0,0,0,0,0
"29","29",0,0,0,0,0,0,0,0
"30","30",0,0,0,0,0,0,0,0
"31","31",100,0,0,0,0,0,0,100
"32","32",100,0,0,100,0,0,0,200
"33","33",0,0,100,100,0,0,0,100
"34","34",0,0,0,0,0,0,0,0
"35","35",0,0,0,0,0,0,0,0
"36","36",0,0,0,0,0,0,0,0
"37","37",0,0,0,0,0,0,0,0
"38","38",0,0,0,0,0,0,0,0
"39","39",0,0,0,100,0,0,0,100
"40","40",0,0,0,0,0,0,0,0
"41","41",0,0,100,0,0,0,0,0
"42","42",0,0,0,0,0,0,0,0
"43","43",0,0,0,0,0,0,0,0
"44","44",0,0,0,0,0,0,0,0
"45","45",0,0,0,0,0,0,0,0
"46","46",0,0,0,0,0,0,0,0
"47","47",100,0,0,0,100,0,0,100
"48","48",0,0,0,0,100,0,0,0
"49","49",100,0,0,0,0,0,0,100
"50","50",0,0,0,0,0,0,0,0
"51","51",0,0,0,0,0,0,0,0
"52","52",0,0,0,0,0,0,0,0
"53","53",0,0,0,0,0,0,0,0
"54","54",0,0,0,0,0,0,0,0
"55","55",100,0,0,0,0,0,0,100
"56","56",0,0,0,0,0,0,0,0
"57","57",0,0,0,100,0,0,0,100
"58","58",0,0,0,0,100,0,100,0
"59","59",0,0,0,100,0,0,0,100
"60","60",100,0,0,0,0,0,0,100
"61","61",100,0,0,100,100,0,0,200
"62","62",100,0,0,0,100,0,0,100
"63","63",0,0,0,0,0,0,0,0
"64","64",0,0,0,0,0,0,0,0
"65","65",0,0,0,0,0,0,0,0
"66","66",0,0,0,0,0,0,0,0
"67","67",0,0,0,0,0,0,0,0
"68","68",0,0,0,0,100,0,0,0
"69","69",0,0,0,0,100,0,0,0
"70","70",0,0,0,0,100,0,0,0
"71","71",100,0,0,0,100,0,0,100
"72","72",0,0,0,100,0,0,0,100
"73","73",100,0,0,0,100,0,0,100
"74","74",0,0,0,0,100,0,0,0
"75","75",0,0,0,0,0,0,0,0
"76","76",100,0,0,0,0,0,0,100
"77","77",100,0,0,100,100,0,100,200
"78","78",0,0,0,0,0,0,0,0
"79","79",0,0,0,0,0,0,0,0
"80","80",0,0,0,0,0,0,0,0
"81","81",0,0,0,0,0,0,0,0
"82","82",0,0,0,100,0,0,0,100
"83","83",0,0,0,0,100,0,0,0
"84","84",0,0,0,100,100,0,100,100
"85","85",0,0,100,0,100,0,100,0
"86","86",0,0,0,0,0,0,0,0
"87","87",0,0,0,0,0,0,0,0
"88","88",0,0,0,0,0,0,0,0
"89","89",0,0,0,0,0,0,0,0
"90","90",0,0,0,0,0,0,0,0
"91","91",0,0,100,0,0,0,0,0
"92","92",100,0,0,0,100,0,0,100
"93","93",0,0,0,0,100,0,0,0
"94","94",100,0,0,0,0,0,0,100
"95","95",0,0,0,100,100,0,0,100
"96","96",0,0,0,0,0,0,0,0
"97","97",0,0,0,0,0,0,0,0
"98","98",0,0,0,0,0,0,0,0
"99","99",0,0,0,0,0,0,0,0
"100","100",0,0,0,100,0,0,0,100
"101","101",0,0,0,100,100,0,0,100
"102","102",0,0,0,0,0,0,0,0
"103","103",0,0,0,0,0,0,0,0
"104","104",0,0,0,0,0,0,0,0
"105","105",0,0,0,0,0,0,0,0
"106","106",0,0,0,0,0,0,0,0
"107","107",0,0,0,0,0,0,0,0
"108","108",0,0,0,0,0,0,0,0
"109","109",100,0,0,0,0,0,0,100
"110","110",0,0,0,100,0,0,0,100
"111","111",0,0,0,0,0,0,0,0
"112","112",0,0,0,0,0,0,0,0
"113","113",0,0,100,0,0,0,0,0
"114","114",0,0,100,0,0,0,0,0
"115","115",0,0,0,0,0,0,0,0
"116","116",0,0,0,0,100,0,0,0
"117","117",0,0,0,100,0,0,0,100
"118","118",0,0,0,0,100,0,0,0
"119","119",0,0,0,0,100,0,0,0
"120","120",100,0,0,0,100,0,0,100
"121","121",100,0,0,100,0,0,0,200
"122","122",0,0,0,0,0,0,0,0
"123","123",100,0,0,0,0,0,0,100
"124","124",0,0,0,0,0,0,0,0
"125","125",0,0,0,100,0,0,0,100
"126","126",0,0,0,0,0,0,0,0
"127","127",0,0,0,0,0,0,0,0
"128","128",0,0,0,100,0,0,0,100
"129","129",100,0,0,0,0,0,0,100
"130","130",100,0,0,0,0,0,0,100
"131","131",100,0,0,0,100,100,0,200
"132","132",0,0,0,0,0,0,0,0
"133","133",0,0,100,0,0,0,0,0
"134","134",0,0,0,0,0,0,0,0
"135","135",0,0,0,0,0,0,0,0
"136","136",0,0,0,0,0,0,0,0
"137","137",0,0,0,0,0,0,0,0
"138","138",0,0,0,0,0,0,0,0
"139","139",0,0,0,0,0,0,0,0
"140","140",100,0,0,0,0,0,0,100
"141","141",0,0,0,0,0,0,0,0
"142","142",0,0,0,0,100,0,0,0
"143","143",0,0,0,100,0,0,0,100
"144","144",0,0,0,0,0,0,0,0
"145","145",0,0,0,0,0,0,0,0
"146","146",0,0,0,0,0,0,0,0
"147","147",0,0,0,0,0,0,0,0
"148","148",0,0,100,0,100,0,0,0
"149","149",100,0,100,0,100,0,0,100
"150","150",0,0,0,0,0,100,0,100
"151","151",100,0,0,0,0,0,0,100
"152","152",100,0,0,100,0,0,0,200
"153","153",100,0,100,100,0,0,0,200
"154","154",100,0,0,0,0,0,0,100
"155","155",100,0,0,100,0,100,0,300
"156","156",100,0,0,0,100,0,0,100
"157","157",0,0,0,100,0,0,0,100
"158","158",0,0,0,100,100,0,0,100
"159","159",0,0,0,100,0,0,0,100
"160","160",100,0,100,0,0,0,0,100
"161","161",100,0,100,0,100,0,0,100
"162","162",100,0,0,0,0,100,0,200
"163","163",100,0,0,100,0,0,0,200
"164","164",0,0,100,100,100,0,0,100
"165","165",100,0,0,100,0,0,0,200
"166","166",100,0,0,100,0,0,0,200
"167","167",0,0,0,100,100,0,0,100
"168","168",0,0,0,0,0,0,0,0
"169","169",0,0,0,0,0,0,0,0
"170","170",0,0,0,0,0,0,0,0
"171","171",0,0,0,0,0,0,0,0
"172","172",0,0,0,0,0,0,0,0
"173","173",0,0,0,0,100,0,0,0
"174","174",0,0,0,100,100,0,0,100
"175","175",100,0,100,0,0,100,0,200
"176","176",0,0,0,0,0,0,0,0
"177","177",0,0,0,100,0,0,0,100
"178","178",100,0,0,0,0,0,0,100
"179","179",0,0,0,0,0,0,0,0
"180","180",0,0,0,100,0,0,0,100
"181","181",100,0,0,0,0,0,0,100
"182","182",0,0,100,100,0,0,0,100
"183","183",0,0,0,0,0,0,0,0
"184","184",0,0,0,0,0,0,0,0
"185","185",0,0,0,0,0,0,0,0
"186","186",0,0,0,0,0,0,0,0
"187","187",0,0,0,0,0,0,0,0
"188","188",100,0,0,100,0,0,0,200
"189","189",100,0,0,0,100,0,0,100
"190","190",100,0,0,0,100,0,0,100
"191","191",0,0,0,0,0,0,0,0
"192","192",100,0,0,0,0,0,0,100
"193","193",0,0,0,0,0,0,0,0
"194","194",0,0,0,0,0,0,0,0
"195","195",100,0,0,0,0,0,0,100
"196","196",0,0,0,0,100,0,0,0
"197","197",100,0,0,0,100,0,0,100
"198","198",0,0,0,0,0,0,0,0
"199","199",0,0,0,0,0,0,0,0
"200","200",0,0,0,0,0,0,0,0
"201","201",0,0,0,0,0,0,0,0
"202","202",100,0,0,100,0,0,0,200
"203","203",0,0,0,0,0,0,0,0
