"","catalogNumber","total.div","ffg.div","gall.div","mine.div","spec.div"
"1","AHUC102387","4.94166666666667","4.24166666666667","0.416666666666664","0.700000000000003","3.40833333333333"
"2","AHUC102397","2.93333333333333","2.46666666666667","0.733333333333334","1.46666666666667","2.2"
"3","AHUC102398","2","2",NA,"53","146"
"4","CHSC021925","3.21428571428571","1.72857142857143","1.45714285714286","1.27142857142857","2.24285714285714"
"5","CHSC023528","1.53333333333333","1.11666666666667",NA,"1.11666666666667","1.53333333333333"
"6","CHSC039795","3.2","2.73333333333333","0.733333333333334","1.73333333333333","3.2"
"7","CHSC075376","5.93333333333333","2.46666666666667",NA,"0.733333333333334","5.2"
"8","CHSC110543","0.733333333333348","0.733333333333333","0.733333333333334","0.733333333333334","0.733333333333348"
"9","DAV309008","3.76666666666667","2.69166666666667","1.4","0.833333333333333","1.95"
"10","DAV309014","3.5","2.53333333333333","0.833333333333333","2.25","3.08333333333333"
"11","DAV309017","2.7","2.7","0.942857142857143","0.485714285714288","2.21428571428571"
"12","DAV309031","1.73333333333333","1.73333333333333",NA,NA,"0.733333333333348"
"13","DAV309036","2","7","56","53","2"
"14","DAV309037","2.51666666666667","1.7","0.700000000000003","1.11666666666667","1.81666666666667"
"15","DAV309060","1.46666666666667","1.46666666666667",NA,"0.733333333333334","0.733333333333348"
"16","DAV309063","2.93333333333333","1.73333333333333","0.733333333333334","1.46666666666667","1.46666666666667"
"17","DAV314968","2","2",NA,"1","1"
"18","DAV314972","4","2","1","1","4"
"19","DAV314984","4.80555555555556","3.16666666666667","0.888888888888886","1.58333333333333","2.75"
"20","DAV314986","5.66666666666667","3.46666666666667",NA,"2.46666666666667","3.2"
"21","DAV314989","0.73333333333332","0.733333333333333","0.733333333333334","0.733333333333334","0.733333333333348"
"22","DAV314998","6.4","3.73333333333333","0.733333333333334","0.733333333333334","4.2"
"23","DAV338118","1","1",NA,"1","1"
"24","FSC0005880","1.16666666666667","1.16666666666667",NA,NA,"2.36111111111111"
"25","FSC0005888","1","1",NA,NA,"3"
"26","FSC0005890","1.25","0.833333333333333",NA,"0.833333333333333","0.833333333333333"
"27","HSC201132","3.2","2.23333333333333","0.416666666666664","0.700000000000003","2.36666666666667"
"28","HSC201133","3.46666666666667","2",NA,"1","3.46666666666667"
"29","JEPS116539","2.78333333333333","2.23333333333333","1.11666666666667","0.416666666666671","2.78333333333333"
"30","JEPS117323","2.78333333333333","2.51666666666667","0.416666666666664","0.833333333333333","1.66666666666667"
"31","JEPS37352","0.416666666666686","0.416666666666667",NA,"0.416666666666671","0.416666666666657"
"32","JEPS37353","0.833333333333333","0.833333333333333","0.416666666666664",NA,"0.416666666666686"
"33","JEPS37357","6.05714285714286","3.21428571428571",NA,"1.27142857142857","3.81428571428571"
"34","JEPS37358","1.11666666666667","0.875","0.700000000000003","1.11666666666667","1.11666666666667"
"35","JEPS37359","3.88333333333333","3.05","0.416666666666671","1.25","3.46666666666667"
"36","JEPS37360","1.46666666666667","1.46666666666667",NA,"0.733333333333334","0.73333333333332"
"37","JEPS37361",NA,NA,NA,NA,NA
"38","JEPS37463","4.18333333333333","3.13333333333333","0.416666666666671","0.700000000000003","4.18333333333333"
"39","JEPS37468","2.93333333333333","1.81666666666667",NA,"0.700000000000003","2.51666666666667"
"40","JEPS37470","2.23333333333333","1.4","0.416666666666671","1.11666666666667","2.23333333333333"
"41","JEPS37663","4.58333333333334","2.36666666666667","0.833333333333333","0.833333333333333","3.75"
"42","JEPS38059","5","3","56","2","5"
"43","LA00610309","1","1",NA,"1","1"
"44","LA00648288","1.46666666666667","1.46666666666667",NA,"0.733333333333334","0.733333333333348"
"45","LOB116083","2.73333333333333","1.73333333333333",NA,"2","2"
"46","OBI112563","4.66666666666667","2.46666666666667","1","2.46666666666667","3.2"
"47","OBI112580","2.24285714285714","1.72857142857143","0.785714285714285","1.75714285714286","0.971428571428572"
"48","RSA0081223","1.94285714285714","1.75714285714286",NA,"0.971428571428572","1.45714285714286"
"49","SBBG182634","6","3","2","1","5"
"50","SBBG204456","3.66666666666667","2.46666666666667","0.733333333333334","0.733333333333334","2.93333333333333"
"51","SBBG204680","1.73333333333333","1.73333333333333","1","1","1.73333333333333"
"52","SBBG204689","4.5","3.33333333333333","0.583333333333329","0.583333333333336","3.91666666666667"
"53","SBBG204702","1","1",NA,"1","1"
"54","SBBG205485","2.36666666666667","1.70833333333333","0.416666666666664","1.11666666666667","2.36666666666667"
"55","SBBG205496","3.2","3.2","0.733333333333334","0.733333333333334","2.46666666666667"
"56","SBBG205498","0.583333333333314","0.583333333333333",NA,"0.583333333333329","1.75"
"57","SBBG205501","6.44444444444444","3.94444444444444","1.75","0.583333333333336","4.38888888888889"
"58","SBBG206106","1","1",NA,"1","1"
"59","UC1135699","6.86666666666667","3.46666666666667","0.733333333333334","1.73333333333333","4.66666666666667"
"60","UC1135716","1.25","1.25","0.416666666666671","0.416666666666671","1.25"
"61","UC1193240","2.91428571428571","2.21428571428571",NA,"0.971428571428572","1.45714285714286"
"62","UC1196525","2.46666666666667","1.73333333333333","0.733333333333334","1","2.46666666666667"
"63","UC196970","2.16666666666667","2.16666666666667","0.583333333333329","0.583333333333329","1.58333333333333"
"64","UC5635","2.08333333333333","1.38333333333333","0.416666666666671","0.416666666666671","2.08333333333333"
"65","UC5637","3.33333333333333","1.8",NA,"2.5","3.33333333333333"
